Delito,SubDelito,Fecha,Hora,Victima,SubVíctima,Edad,Sexo,Nacionalidad,Provincia,Cantón,Distrito
ASALTO,ARMA BLANCA,2024-11-30,21:00:00 - 23:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,ABANGARES,LAS JUNTAS
ASALTO,ARMA DE FUEGO,2024-11-30,21:00:00 - 23:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,MUJER,COSTA RICA,HEREDIA,FLORES,SAN JOAQUÍN
ASALTO,ARMA DE FUEGO,2024-11-30,21:00:00 - 23:59:59,VEHÍCULO,MOTOCICLETA/REPARTIDOR [VEHÍCULO],Mayor de edad,HOMBRE,CUBA,CARTAGO,CARTAGO,SAN NICOLAS
HURTO,CARTERISTA,2024-11-30,21:00:00 - 23:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSÉ,SAN JOSÉ,CATEDRAL
HURTO,OTRO O INDETERMINADO,2024-11-30,21:00:00 - 23:59:59,OTROS,NO DEFINIDO [OTROS],Mayor de edad,HOMBRE,COSTA RICA,LIMÓN,SIQUIRRES,SIQUIRRES
HURTO,POR DESCUIDO,2024-11-30,21:00:00 - 23:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,MUJER,COSTA RICA,PUNTARENAS,MONTEVERDE,MONTEVERDE
HURTO,POR DESCUIDO,2024-11-30,21:00:00 - 23:59:59,OTROS,EL ESTADO [OTROS],Mayor de edad,MUJER,COSTA RICA,HEREDIA,HEREDIA,HEREDIA
ASALTO,ARREBATO,2024-11-30,21:00:00 - 23:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSÉ,SAN JOSÉ,HOSPITAL
ROBO DE VEHÍCULO,DESCUIDO,2024-11-30,21:00:00 - 23:59:59,VEHÍCULO,MOTOCICLETA [VEHÍCULO],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,ABANGARES,SIERRA
ROBO DE VEHÍCULO,POR CONFIANZA,2024-11-30,21:00:00 - 23:59:59,VEHÍCULO,MOTOCICLETA [VEHÍCULO],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,CAÑAS,CAÑAS
ASALTO,GOLPES,2024-11-30,21:00:00 - 23:59:59,OTROS,BICICLETA/REPARTIDOR/MENSAJERO/COBRADOR [OTROS],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,CARTAGO,SAN FRANCISCO
TACHA DE VEHÍCULO,TACHA DE VEHÍCULO,2024-11-30,21:00:00 - 23:59:59,VEHÍCULO,CARGA LIVIANA [VEHÍCULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSÉ,MONTES DE OCA,SAN PEDRO
HURTO,POR DESCUIDO,2024-11-30,21:00:00 - 23:59:59,OTROS,EL ESTADO [OTROS],Mayor de edad,MUJER,COSTA RICA,HEREDIA,HEREDIA,HEREDIA
ROBO DE VEHÍCULO,DESCUIDO,2024-11-30,21:00:00 - 23:59:59,VEHÍCULO,MOTOCICLETA [VEHÍCULO],Mayor de edad,HOMBRE,COSTA RICA,LIMÓN,LIMÓN,VALLE LA ESTRELLA
ASALTO,GOLPES,2024-11-30,21:00:00 - 23:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,LIBERIA,LIBERIA
ROBO,ESCALAMIENTO,2024-11-30,21:00:00 - 23:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,UPALA,UPALA
HURTO,POR DESCUIDO,2024-11-30,21:00:00 - 23:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,MUJER,COSTA RICA,PUNTARENAS,CORREDORES,LAUREL
ROBO DE VEHÍCULO,DESCUIDO,2024-11-30,21:00:00 - 23:59:59,VEHÍCULO,AUTOMÓVIL [VEHÍCULO],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,FLORES,SAN JOAQUÍN
HURTO,POR DESCUIDO,2024-11-30,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSÉ,SAN JOSÉ,PAVAS
TACHA DE VEHÍCULO,TACHA DE VEHÍCULO,2024-11-30,21:00:00 - 23:59:59,VEHÍCULO,AUTOMÓVIL [VEHÍCULO],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,LIBERIA,LIBERIA
ROBO,FORZADURA,2024-11-30,21:00:00 - 23:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,MUJER,COSTA RICA,HEREDIA,SANTO DOMINGO,SANTO DOMINGO
ASALTO,GOLPES,2024-11-30,21:00:00 - 23:59:59,PERSONA,PEATÓN [PERSONA],Menor de edad,MUJER,COSTA RICA,SAN JOSÉ,SAN JOSÉ,PAVAS
ASALTO,ARMA BLANCA,2024-11-30,18:00:00 - 20:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,DESCONOCIDO,DESCONOCIDO
ASALTO,GOLPES,2024-11-30,18:00:00 - 20:59:59,PERSONA,DROGADICTO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,TURRIALBA,TURRIALBA
ASALTO,ARREBATO,2024-11-30,18:00:00 - 20:59:59,PERSONA,PASAJERO DE TRANSPORTE PÚBLICO [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSÉ,SAN JOSÉ,HOSPITAL
ASALTO,INTIMIDACIÓN VERBAL,2024-11-30,18:00:00 - 20:59:59,EDIFICACIÓN,OTRO O INDETERMINADO [EDIFICACIÓN],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,NICOYA,NICOYA
HURTO,POR CONFIANZA,2024-11-30,18:00:00 - 20:59:59,OTROS,BICICLETA [OTROS],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,SANTA CRUZ,TAMARINDO
HURTO,POR DESCUIDO,2024-11-30,18:00:00 - 20:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,SANTA CRUZ,SANTA CRUZ
HURTO,CARTERISTA,2024-11-30,18:00:00 - 20:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,CAÑAS,CAÑAS
ROBO,FORZADURA,2024-11-30,18:00:00 - 20:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,LIBERIA,LIBERIA
TACHA DE VEHÍCULO,TACHA DE VEHÍCULO,2024-11-30,18:00:00 - 20:59:59,VEHÍCULO,AUTOMÓVIL [VEHÍCULO],Mayor de edad,HOMBRE,ESPAÑA,PUNTARENAS,QUEPOS,QUEPOS
TACHA DE VEHÍCULO,TACHA DE VEHÍCULO,2024-11-30,18:00:00 - 20:59:59,VEHÍCULO,MOTOCICLETA [VEHÍCULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSÉ,DESAMPARADOS,DAMAS
TACHA DE VEHÍCULO,TACHA DE VEHÍCULO,2024-11-30,18:00:00 - 20:59:59,VEHÍCULO,AUTOMÓVIL [VEHÍCULO],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,SANTO DOMINGO,SANTA ROSA
HURTO,POR DESCUIDO,2024-11-30,18:00:00 - 20:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,MUJER,FRANCIA,LIMÓN,LIMÓN,VALLE LA ESTRELLA
ROBO DE VEHÍCULO,ASALTO,2024-11-30,18:00:00 - 20:59:59,VEHÍCULO,MOTOCICLETA/MENSAJERO/COBRADOR [VEHÍCULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSÉ,SAN JOSÉ,SAN SEBASTIÁN
ROBO,FORZADURA,2024-11-30,18:00:00 - 20:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,EL GUARCO,EL TEJAR
TACHA DE VEHÍCULO,TACHA DE VEHÍCULO,2024-11-30,18:00:00 - 20:59:59,VEHÍCULO,AUTOMÓVIL [VEHÍCULO],Mayor de edad,MUJER,FRANCIA,PUNTARENAS,GARABITO,JACÓ
TACHA DE VEHÍCULO,TACHA DE VEHÍCULO,2024-11-30,18:00:00 - 20:59:59,VEHÍCULO,MOTOCICLETA [VEHÍCULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSÉ,GOICOECHEA,PURRAL
ROBO,FORZADURA,2024-11-30,18:00:00 - 20:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,HOMBRE,Desconocido,ALAJUELA,SAN CARLOS,FORTUNA
TACHA DE VEHÍCULO,TACHA DE VEHÍCULO,2024-11-30,18:00:00 - 20:59:59,VEHÍCULO,AUTOMÓVIL [VEHÍCULO],Mayor de edad,MUJER,ESPAÑA,PUNTARENAS,QUEPOS,QUEPOS
ASALTO,ARREBATO,2024-11-30,18:00:00 - 20:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,MUJER,COSTA RICA,PUNTARENAS,PUNTARENAS,CHACARITA
HURTO,POR DESCUIDO,2024-11-30,18:00:00 - 20:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,HEREDIA,HEREDIA,SAN FRANCISCO
ROBO,FORZADURA,2024-11-30,18:00:00 - 20:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA,TAMBOR
ASALTO,GOLPES,2024-11-30,15:00:00 - 17:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSÉ,SAN JOSÉ,URUCA
HURTO,CARTERISTA,2024-11-30,15:00:00 - 17:59:59,PERSONA,CLIENTE LOCAL COMERCIAL [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSÉ,SAN JOSÉ,CARMEN
ASALTO,INMOVILIZACIÓN,2024-11-30,15:00:00 - 17:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,BELÉN,SAN ANTONIO
HURTO,CARTERISTA,2024-11-30,15:00:00 - 17:59:59,PERSONA,CLIENTE LOCAL COMERCIAL [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSÉ,SAN JOSÉ,HOSPITAL
HURTO,POR DESCUIDO,2024-11-30,15:00:00 - 17:59:59,PERSONA,CLIENTE LOCAL COMERCIAL [PERSONA],Mayor de edad,MUJER,COSTA RICA,HEREDIA,HEREDIA,HEREDIA
HURTO,POR DESCUIDO,2024-11-30,15:00:00 - 17:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,MUJER,COSTA RICA,SAN JOSÉ,SANTA ANA,SANTA ANA
HURTO,POR DESCUIDO,2024-11-30,15:00:00 - 17:59:59,PERSONA,TURISTA/EXTRANJERO [PERSONA],Desconocido,HOMBRE,Desconocido,SAN JOSÉ,SAN JOSÉ,DESCONOCIDO
HURTO,POR DESCUIDO,2024-11-30,15:00:00 - 17:59:59,PERSONA,TURISTA/EXTRANJERO [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,PUNTARENAS,GARABITO,JACÓ
HURTO,CARTERISTA,2024-11-30,15:00:00 - 17:59:59,PERSONA,PEATÓN [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA,ALAJUELA
HURTO,POR DESCUIDO,2024-11-30,15:00:00 - 17:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSÉ,ALAJUELITA,SAN JOSECITO
TACHA DE VEHÍCULO,TACHA DE VEHÍCULO,2024-11-30,15:00:00 - 17:59:59,VEHÍCULO,CARGA [VEHÍCULO],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,HEREDIA,ULLOA
ASALTO,ARMA DE FUEGO,2024-11-30,15:00:00 - 17:59:59,PERSONA,TAXISTA [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSÉ,ALAJUELITA,CONCEPCIÓN
HURTO,POR CONFIANZA,2024-11-30,15:00:00 - 17:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,MUJER,NICARAGUA,GUANACASTE,LIBERIA,LIBERIA
TACHA DE VEHÍCULO,TACHA DE VEHÍCULO,2024-11-30,15:00:00 - 17:59:59,PERSONA,TURISTA/EXTRANJERO [PERSONA],Mayor de edad,MUJER,ALEMANIA,ALAJUELA,SAN CARLOS,FORTUNA
ROBO,FORZADURA,2024-11-30,15:00:00 - 17:59:59,EDIFICACIÓN,TALLER [EDIFICACIÓN],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,ABANGARES,LAS JUNTAS
HURTO,POR DESCUIDO,2024-11-30,15:00:00 - 17:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSÉ,SANTA ANA,SANTA ANA
ROBO DE VEHÍCULO,DESCUIDO,2024-11-30,15:00:00 - 17:59:59,VEHÍCULO,MOTOCICLETA [VEHÍCULO],Mayor de edad,HOMBRE,NICARAGUA,HEREDIA,HEREDIA,MERCEDES
TACHA DE VEHÍCULO,TACHA DE VEHÍCULO,2024-11-30,15:00:00 - 17:59:59,VEHÍCULO,MOTOCICLETA [VEHÍCULO],Mayor de edad,MUJER,COSTA RICA,SAN JOSÉ,MORAVIA,LA TRINIDAD
ROBO,FORZADURA,2024-11-30,15:00:00 - 17:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSÉ,ASERRÍ,VUELTA DE JORCO
ROBO,FORZADURA,2024-11-30,15:00:00 - 17:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,DESCONOCIDO,COSTA RICA,LIMÓN,POCOCÍ,GUÁPILES
ROBO,FORZADURA,2024-11-30,15:00:00 - 17:59:59,VIVIENDA,NO APLICA [VIVIENDA],Adulto Mayor,HOMBRE,COSTA RICA,GUANACASTE,BAGACES,BAGACES
